date,AWND,PRCP,TMAX,TMIN
2019-01-01,5.8,0.0,55.0,36.0
2019-01-02,4.0,0.0,57.0,33.0
2019-01-03,2.7,0.0,58.0,34.0
2019-01-04,3.4,0.0,62.0,35.0
2019-01-05,13.2,0.1,56.0,46.0
2019-01-06,12.8,0.79,59.0,43.0
2019-01-07,5.8,0.0,62.0,49.0
2019-01-08,7.8,0.02,61.0,51.0
2019-01-09,7.8,0.11,61.0,50.0
2019-01-10,3.1,0.0,62.0,43.0
2019-01-11,9.6,0.04,64.0,45.0
2019-01-12,6.5,0.0,64.0,47.0
2019-01-13,6.3,0.0,62.0,43.0
2019-01-14,8.1,0.08,57.0,48.0
2019-01-15,13.4,0.21,57.0,51.0
2019-01-16,17.4,1.02,61.0,54.0
2019-01-17,6.5,0.05,60.0,52.0
2019-01-18,2.7,0.0,64.0,50.0
2019-01-19,3.4,0.0,69.0,49.0
2019-01-20,6.9,0.21,65.0,47.0
2019-01-21,6.5,0.01,56.0,43.0
2019-01-22,5.6,0.0,59.0,41.0
2019-01-23,3.1,0.0,61.0,37.0
2019-01-24,5.4,0.0,64.0,40.0
2019-01-25,2.9,0.0,66.0,39.0
2019-01-26,1.8,0.0,65.0,38.0
2019-01-27,2.2,0.0,66.0,43.0
2019-01-28,2.9,0.0,65.0,49.0
2019-01-29,4.3,0.01,64.0,48.0
2019-01-30,3.4,0.0,66.0,51.0
2019-01-31,4.0,0.24,63.0,50.0
2019-02-01,13.9,0.06,59.0,52.0
2019-02-02,17.7,0.91,59.0,50.0
2019-02-03,9.6,0.15,59.0,48.0
2019-02-04,7.4,0.85,56.0,42.0
2019-02-05,5.4,0.04,50.0,37.0
2019-02-06,4.9,0.0,55.0,34.0
2019-02-07,5.1,0.0,57.0,35.0
2019-02-08,8.3,0.25,53.0,42.0
2019-02-09,7.6,0.32,56.0,36.0
2019-02-10,7.4,0.32,51.0,39.0
2019-02-11,4.9,0.0,55.0,35.0
2019-02-12,7.6,0.0,55.0,37.0
2019-02-13,19.7,0.52,63.0,42.0
2019-02-14,9.6,0.99,62.0,48.0
2019-02-15,6.5,0.33,53.0,42.0
2019-02-16,7.8,0.29,53.0,42.0
2019-02-17,8.5,0.26,53.0,39.0
2019-02-18,5.8,0.0,55.0,34.0
2019-02-19,5.6,0.0,56.0,33.0
2019-02-20,13.0,0.0,56.0,45.0
2019-02-21,13.0,0.0,56.0,40.0
2019-02-22,5.8,0.0,56.0,35.0
2019-02-23,4.7,0.0,58.0,33.0
2019-02-24,4.3,0.0,60.0,43.0
2019-02-25,10.7,0.0,57.0,47.0
2019-02-26,15.7,0.05,60.0,52.0
2019-02-27,12.8,0.21,64.0,51.0
2019-02-28,5.6,0.06,59.0,48.0
2019-03-01,1.3,0.0,59.0,44.0
2019-03-02,8.3,0.57,65.0,51.0
2019-03-03,5.4,0.08,63.0,51.0
2019-03-04,4.7,0.0,58.0,49.0
2019-03-05,9.6,0.12,59.0,50.0
2019-03-06,13.0,0.54,62.0,53.0
2019-03-07,5.1,0.05,55.0,46.0
2019-03-08,7.4,0.01,56.0,41.0
2019-03-09,11.6,0.06,53.0,41.0
2019-03-10,9.4,0.04,58.0,44.0
2019-03-11,5.6,0.0,63.0,40.0
2019-03-12,10.7,0.0,61.0,39.0
2019-03-13,10.5,0.0,61.0,43.0
2019-03-14,7.2,0.0,65.0,39.0
2019-03-15,4.7,0.0,68.0,39.0
2019-03-16,4.9,0.0,71.0,42.0
2019-03-17,3.1,0.0,74.0,44.0
2019-03-18,3.6,0.0,78.0,47.0
2019-03-19,6.5,0.06,72.0,50.0
2019-03-20,7.8,0.26,64.0,46.0
2019-03-21,5.8,0.0,63.0,43.0
2019-03-22,8.5,0.17,59.0,45.0
2019-03-23,8.3,0.28,62.0,46.0
2019-03-24,4.7,0.0,67.0,41.0
2019-03-25,8.7,0.29,68.0,48.0
2019-03-26,5.6,0.05,67.0,51.0
2019-03-27,10.7,0.22,64.0,49.0
2019-03-28,7.2,0.01,65.0,45.0
2019-03-29,7.4,0.0,64.0,45.0
2019-03-30,6.3,0.0,68.0,45.0
