date,ADPT,ASLP,ASTP,AWBT,AWND,PGTM,PRCP,RHAV,RHMN,RHMX,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
2019-01-01,-78.0,10230.0,10213.0,22.0,5.8,,0.0,35.0,21.0,55.0,55.0,36.0,50.0,60.0,17.0,23.0,,,,
2019-01-02,-33.0,10240.0,10224.0,28.0,4.0,,0.0,50.0,26.0,67.0,57.0,33.0,330.0,330.0,8.9,10.1,,,,
2019-01-03,-6.0,10224.0,10207.0,39.0,2.7,,0.0,59.0,33.0,82.0,58.0,34.0,320.0,340.0,8.9,11.0,,,,
2019-01-04,28.0,10149.0,10132.0,61.0,3.4,,0.0,67.0,38.0,86.0,62.0,35.0,200.0,200.0,14.1,19.0,,,,
2019-01-05,67.0,10088.0,10068.0,89.0,13.2,,0.1,76.0,61.0,93.0,56.0,46.0,130.0,150.0,30.0,40.0,1.0,,,1.0
2019-01-06,89.0,10119.0,10095.0,94.0,12.8,,0.79,89.0,80.0,96.0,59.0,43.0,140.0,140.0,30.0,36.9,1.0,,,
2019-01-07,94.0,10196.0,10183.0,111.0,5.8,,0.0,79.0,60.0,97.0,62.0,49.0,320.0,310.0,15.0,19.0,,,,
2019-01-08,106.0,10156.0,10135.0,117.0,7.8,,0.02,79.0,67.0,89.0,61.0,51.0,140.0,150.0,23.9,31.1,1.0,,,
2019-01-09,111.0,10183.0,10169.0,122.0,7.8,,0.11,85.0,72.0,93.0,61.0,50.0,130.0,130.0,23.9,30.0,1.0,,,1.0
2019-01-10,89.0,10200.0,10186.0,100.0,3.1,,0.0,87.0,65.0,100.0,62.0,43.0,330.0,340.0,13.0,13.0,1.0,1.0,,
2019-01-11,83.0,10129.0,10112.0,106.0,9.6,,0.04,75.0,52.0,97.0,64.0,45.0,130.0,130.0,21.9,25.9,,,,
2019-01-12,83.0,10149.0,10132.0,106.0,6.5,,0.0,76.0,50.0,92.0,64.0,47.0,220.0,160.0,16.1,21.0,,,,
2019-01-13,61.0,10152.0,10135.0,94.0,6.3,,0.0,70.0,48.0,97.0,62.0,43.0,160.0,160.0,17.0,21.0,,,,
2019-01-14,78.0,10115.0,10098.0,94.0,8.1,,0.08,80.0,70.0,86.0,57.0,48.0,150.0,140.0,21.0,28.0,1.0,,,
2019-01-15,94.0,10088.0,10075.0,106.0,13.4,,0.21,86.0,80.0,93.0,57.0,51.0,140.0,140.0,25.1,32.0,1.0,,,
2019-01-16,111.0,10115.0,10098.0,122.0,17.4,,1.02,83.0,67.0,93.0,61.0,54.0,150.0,150.0,32.0,44.1,1.0,,,
2019-01-17,94.0,10176.0,10163.0,117.0,6.5,,0.05,75.0,58.0,89.0,60.0,52.0,210.0,170.0,16.1,19.9,1.0,,,
2019-01-18,83.0,10264.0,10247.0,111.0,2.7,,0.0,71.0,43.0,93.0,64.0,50.0,170.0,170.0,8.1,10.1,,,,
2019-01-19,100.0,10257.0,10240.0,122.0,3.4,,0.0,75.0,53.0,90.0,69.0,49.0,320.0,310.0,10.1,13.0,,,,
2019-01-20,100.0,10186.0,10166.0,117.0,6.9,,0.21,84.0,73.0,90.0,65.0,47.0,310.0,310.0,23.9,30.0,1.0,,,1.0
2019-01-21,61.0,10234.0,10213.0,83.0,6.5,,0.01,77.0,55.0,93.0,56.0,43.0,320.0,320.0,16.1,19.9,1.0,,,
2019-01-22,17.0,10288.0,10268.0,61.0,5.6,,0.0,58.0,33.0,86.0,59.0,41.0,320.0,350.0,15.0,21.0,,,,
2019-01-23,22.0,10288.0,10264.0,61.0,3.1,,0.0,61.0,36.0,77.0,61.0,37.0,330.0,340.0,13.0,15.0,,,,
2019-01-24,44.0,10237.0,10217.0,78.0,5.4,,0.0,65.0,43.0,89.0,64.0,40.0,340.0,320.0,16.1,21.9,,,,
2019-01-25,50.0,10234.0,10217.0,78.0,2.9,,0.0,68.0,39.0,83.0,66.0,39.0,320.0,320.0,10.1,12.1,,,,
2019-01-26,50.0,10247.0,10230.0,83.0,1.8,,0.0,64.0,43.0,82.0,65.0,38.0,300.0,300.0,8.1,10.1,,,,
2019-01-27,67.0,10213.0,10193.0,94.0,2.2,,0.0,66.0,50.0,83.0,66.0,43.0,330.0,310.0,8.9,11.0,,,,
2019-01-28,83.0,10169.0,10152.0,111.0,2.9,,0.0,71.0,50.0,87.0,65.0,49.0,340.0,330.0,8.9,11.0,,,,
2019-01-29,106.0,10152.0,10135.0,117.0,4.3,,0.01,86.0,70.0,96.0,64.0,48.0,320.0,310.0,13.0,14.1,1.0,,,
2019-01-30,100.0,10125.0,10112.0,117.0,3.4,,0.0,80.0,59.0,97.0,66.0,51.0,320.0,,10.1,,1.0,,,
2019-01-31,106.0,10122.0,10102.0,117.0,4.0,,0.24,82.0,65.0,97.0,63.0,50.0,200.0,210.0,15.0,19.0,1.0,,,1.0
2019-02-01,94.0,10088.0,10064.0,111.0,13.9,,0.06,80.0,62.0,93.0,59.0,52.0,150.0,140.0,29.1,36.9,,,,
2019-02-02,89.0,9986.0,9963.0,100.0,17.7,,0.91,82.0,60.0,93.0,59.0,50.0,150.0,160.0,31.1,38.9,1.0,,,
2019-02-03,83.0,10041.0,10020.0,100.0,9.6,,0.15,80.0,62.0,93.0,59.0,48.0,130.0,260.0,23.0,34.0,1.0,,,1.0
2019-02-04,56.0,10041.0,10020.0,78.0,7.4,,0.85,79.0,54.0,100.0,56.0,42.0,290.0,190.0,19.9,27.1,1.0,,,1.0
2019-02-05,17.0,10129.0,10112.0,44.0,5.4,,0.04,76.0,44.0,100.0,50.0,37.0,320.0,320.0,18.1,21.0,1.0,,1.0,
2019-02-06,17.0,10220.0,10203.0,44.0,4.9,,0.0,72.0,47.0,100.0,55.0,34.0,330.0,350.0,16.1,21.0,,,,
2019-02-07,22.0,10244.0,10224.0,56.0,5.1,,0.0,71.0,35.0,100.0,57.0,35.0,320.0,150.0,14.1,17.0,,,,
2019-02-08,56.0,10169.0,10149.0,72.0,8.3,,0.25,81.0,57.0,100.0,53.0,42.0,150.0,130.0,18.1,21.0,1.0,,,
2019-02-09,61.0,10135.0,10115.0,78.0,7.6,,0.32,82.0,53.0,100.0,56.0,36.0,250.0,250.0,16.1,19.9,1.0,,,
2019-02-10,28.0,10169.0,10152.0,56.0,7.4,,0.32,73.0,39.0,97.0,51.0,39.0,330.0,340.0,21.0,27.1,1.0,,,
2019-02-11,28.0,10227.0,10207.0,50.0,4.9,,0.0,77.0,45.0,100.0,55.0,35.0,340.0,330.0,13.0,15.0,,,,
2019-02-12,22.0,10149.0,10129.0,56.0,7.6,,0.0,66.0,42.0,100.0,55.0,37.0,150.0,150.0,25.1,31.1,,,,
2019-02-13,100.0,10020.0,10003.0,117.0,19.7,,0.52,84.0,55.0,97.0,63.0,42.0,150.0,150.0,32.0,42.9,1.0,,,
2019-02-14,100.0,10027.0,10000.0,111.0,9.6,,0.99,83.0,66.0,96.0,62.0,48.0,190.0,200.0,25.1,40.0,1.0,,,1.0
2019-02-15,61.0,10163.0,10146.0,72.0,6.5,,0.33,83.0,66.0,97.0,53.0,42.0,270.0,270.0,23.9,29.1,1.0,,,
2019-02-16,56.0,10213.0,10196.0,72.0,7.8,,0.29,83.0,66.0,100.0,53.0,42.0,330.0,340.0,31.1,40.9,1.0,,,
2019-02-17,39.0,10176.0,10156.0,61.0,8.5,,0.26,78.0,50.0,100.0,53.0,39.0,330.0,340.0,21.9,30.0,1.0,,,
2019-02-18,-6.0,10227.0,10207.0,39.0,5.8,,0.0,63.0,30.0,97.0,55.0,34.0,340.0,350.0,16.1,21.9,,,,
2019-02-19,0.0,10224.0,10203.0,44.0,5.6,,0.0,62.0,35.0,82.0,56.0,33.0,330.0,340.0,15.0,18.1,,,,
2019-02-20,50.0,10125.0,10108.0,78.0,13.0,,0.0,71.0,59.0,83.0,56.0,45.0,300.0,290.0,23.0,28.0,,,,
2019-02-21,-6.0,10081.0,10061.0,50.0,13.0,,0.0,55.0,30.0,86.0,56.0,40.0,330.0,340.0,23.0,30.0,,,,
2019-02-22,-39.0,10196.0,10179.0,33.0,5.8,,0.0,45.0,23.0,70.0,56.0,35.0,340.0,340.0,19.9,23.0,,,,
2019-02-23,22.0,10257.0,10240.0,56.0,4.7,,0.0,69.0,33.0,86.0,58.0,33.0,320.0,320.0,14.1,17.0,,,,
2019-02-24,56.0,10224.0,10200.0,83.0,4.3,,0.0,75.0,56.0,93.0,60.0,43.0,330.0,330.0,17.0,19.9,,,,
2019-02-25,72.0,10163.0,10146.0,94.0,10.7,,0.0,75.0,69.0,86.0,57.0,47.0,190.0,160.0,23.0,31.1,,,,
2019-02-26,83.0,10135.0,10115.0,106.0,15.7,,0.05,73.0,62.0,86.0,60.0,52.0,140.0,150.0,23.9,33.1,1.0,,,
2019-02-27,111.0,10152.0,10135.0,122.0,12.8,,0.21,88.0,73.0,100.0,64.0,51.0,140.0,140.0,28.0,38.9,1.0,,,
2019-02-28,72.0,10203.0,10186.0,94.0,5.6,,0.06,79.0,62.0,100.0,59.0,48.0,330.0,330.0,16.1,19.0,1.0,,,
2019-03-01,67.0,10173.0,10152.0,89.0,1.3,,0.0,75.0,56.0,90.0,59.0,44.0,310.0,310.0,8.9,8.9,,,,
2019-03-02,128.0,10105.0,10085.0,133.0,8.3,,0.57,90.0,73.0,100.0,65.0,51.0,160.0,160.0,14.1,14.1,1.0,,,1.0
2019-03-03,106.0,10173.0,10152.0,117.0,5.4,,0.08,88.0,69.0,100.0,63.0,51.0,330.0,310.0,17.0,21.9,1.0,,,
2019-03-04,83.0,10190.0,10169.0,100.0,4.7,,0.0,79.0,65.0,93.0,58.0,49.0,320.0,350.0,13.0,16.1,,,,
2019-03-05,100.0,10105.0,10085.0,111.0,9.6,,0.12,84.0,69.0,96.0,59.0,50.0,130.0,130.0,25.9,35.1,1.0,,,
2020-01-01,78.0,10207.0,10190.0,94.0,6.5,,0.0,85.0,71.0,93.0,60.0,42.0,340.0,360.0,16.1,19.9,,,,
2020-01-02,72.0,10203.0,10190.0,94.0,4.5,,0.0,74.0,50.0,90.0,61.0,45.0,330.0,330.0,14.1,17.0,1.0,,,1.0
2020-01-03,50.0,10230.0,10213.0,78.0,2.5,,0.0,70.0,38.0,86.0,68.0,41.0,150.0,150.0,13.0,15.0,,,,
2020-01-04,78.0,10288.0,10271.0,94.0,7.4,,0.0,78.0,67.0,86.0,61.0,45.0,320.0,310.0,18.1,21.0,,,,
2020-01-05,56.0,10339.0,10318.0,78.0,5.6,,0.0,75.0,50.0,89.0,58.0,40.0,330.0,330.0,14.1,17.0,,,,
2020-01-06,39.0,10308.0,10291.0,67.0,4.7,,0.0,69.0,37.0,93.0,62.0,39.0,330.0,320.0,16.1,21.0,1.0,,,
2020-01-07,39.0,10227.0,10207.0,67.0,4.5,,0.0,73.0,53.0,86.0,58.0,37.0,340.0,330.0,18.1,23.0,,,,
2020-01-08,67.0,10200.0,10183.0,89.0,5.1,,0.0,77.0,64.0,93.0,57.0,46.0,330.0,320.0,15.0,19.0,,,,
2020-01-09,61.0,10186.0,10173.0,78.0,8.7,,0.07,77.0,65.0,90.0,57.0,43.0,340.0,350.0,21.9,25.9,1.0,,,
2020-01-10,39.0,10257.0,10240.0,67.0,3.8,,0.0,74.0,42.0,93.0,61.0,37.0,330.0,330.0,15.0,18.1,,,,
2020-01-11,56.0,10247.0,10227.0,78.0,5.8,,0.01,77.0,58.0,90.0,57.0,42.0,320.0,320.0,18.1,23.0,1.0,,,
2020-01-12,39.0,10227.0,10210.0,61.0,4.0,,0.0,76.0,57.0,89.0,55.0,37.0,320.0,320.0,14.1,16.1,,,,
2020-01-13,61.0,10224.0,10207.0,83.0,3.8,,0.03,78.0,62.0,97.0,57.0,40.0,150.0,150.0,14.1,17.0,1.0,,,
2020-01-14,50.0,10230.0,10213.0,72.0,5.8,,0.07,74.0,57.0,90.0,55.0,40.0,330.0,150.0,15.0,19.0,1.0,,,
2020-01-15,28.0,10176.0,10156.0,50.0,3.8,,0.0,75.0,59.0,89.0,54.0,35.0,150.0,150.0,13.0,16.1,,,,
2020-01-16,44.0,10125.0,10108.0,61.0,11.9,,0.49,79.0,63.0,93.0,50.0,42.0,120.0,120.0,33.1,44.1,1.0,,,
2020-01-17,33.0,10254.0,10234.0,56.0,3.8,,0.01,76.0,49.0,97.0,56.0,38.0,310.0,320.0,10.1,13.0,1.0,,,
2020-01-18,33.0,10261.0,10244.0,56.0,1.3,,0.0,76.0,49.0,89.0,56.0,39.0,290.0,290.0,8.9,10.1,,,,
2020-01-19,33.0,10200.0,10179.0,56.0,2.5,,0.0,74.0,55.0,86.0,54.0,37.0,240.0,30.0,8.1,12.1,,,,
2020-01-20,61.0,10169.0,10152.0,83.0,3.4,,0.0,78.0,62.0,86.0,58.0,44.0,220.0,220.0,14.1,17.0,,,,
2020-01-21,83.0,10203.0,10186.0,100.0,8.5,,0.0,76.0,65.0,86.0,60.0,46.0,150.0,,13.0,,,,,
2020-01-22,100.0,10237.0,10217.0,111.0,2.5,,0.0,81.0,63.0,93.0,63.0,48.0,330.0,360.0,8.1,10.1,1.0,,,
2020-01-23,83.0,10224.0,10207.0,100.0,2.2,,0.0,82.0,65.0,93.0,63.0,45.0,330.0,330.0,8.9,11.0,,,,
2020-01-24,94.0,10213.0,10196.0,111.0,4.0,,0.0,83.0,63.0,100.0,65.0,45.0,320.0,340.0,12.1,14.1,1.0,1.0,,
2020-01-25,117.0,10203.0,10183.0,128.0,4.0,,0.0,83.0,66.0,97.0,66.0,52.0,340.0,350.0,8.9,12.1,1.0,,,1.0
2020-01-26,100.0,10237.0,10220.0,117.0,6.0,,0.11,80.0,64.0,93.0,62.0,48.0,320.0,330.0,17.0,21.9,1.0,,,1.0
2020-01-27,78.0,10288.0,10268.0,94.0,4.0,,0.0,79.0,67.0,90.0,61.0,42.0,330.0,340.0,15.0,18.1,,,,
2020-01-28,83.0,10271.0,10254.0,106.0,4.5,,0.01,79.0,67.0,89.0,62.0,48.0,330.0,330.0,12.1,19.9,1.0,,,
